,atemp,casual,count,datetime,holiday,humidity,registered,season,temp,weather,windspeed,workingday,day,year,month,hour,dp_reg,dp_cas
0,11.365,0,0,2011-01-20 00:00:00,0,56,0,1,10.66,1,26.0027,1,3,2011,1,1,1,1
1,13.635,0,0,2011-01-20 01:00:00,0,56,0,1,10.66,1,0.0,1,3,2011,1,2,1,1
2,13.635,0,0,2011-01-20 02:00:00,0,56,0,1,10.66,1,0.0,1,3,2011,1,3,1,1
3,12.88,0,0,2011-01-20 03:00:00,0,56,0,1,10.66,1,11.0014,1,3,2011,1,4,1,1
4,12.88,0,0,2011-01-20 04:00:00,0,56,0,1,10.66,1,11.0014,1,3,2011,1,5,1,1
5,11.365,0,0,2011-01-20 05:00:00,0,60,0,1,9.84,1,15.0013,1,3,2011,1,6,1,1
6,10.605,0,0,2011-01-20 06:00:00,0,60,0,1,9.02,1,15.0013,1,3,2011,1,7,1,1
7,10.605,0,0,2011-01-20 07:00:00,0,55,0,1,9.02,1,15.0013,1,3,2011,1,8,4,1
8,10.605,0,0,2011-01-20 08:00:00,0,55,0,1,9.02,1,19.0012,1,3,2011,1,9,5,2
9,11.365,0,0,2011-01-20 09:00:00,0,52,0,1,9.84,2,15.0013,1,3,2011,1,10,3,3
10,11.365,0,0,2011-01-20 10:00:00,0,48,0,1,10.66,1,19.9995,1,3,2011,1,11,3,3
11,13.635,0,0,2011-01-20 11:00:00,0,45,0,1,11.48,2,11.0014,1,3,2011,1,12,3,3
12,16.665,0,0,2011-01-20 12:00:00,0,42,0,1,12.3,2,0.0,1,3,2011,1,13,3,3
13,14.395,0,0,2011-01-20 13:00:00,0,45,0,1,11.48,2,7.0015,1,3,2011,1,14,3,3
14,15.15,0,0,2011-01-20 14:00:00,0,45,0,1,12.3,2,8.9981,1,3,2011,1,15,3,3
15,15.91,0,0,2011-01-20 15:00:00,0,45,0,1,13.12,2,12.998,1,3,2011,1,16,3,3
16,15.15,0,0,2011-01-20 16:00:00,0,49,0,1,12.3,2,8.9981,1,3,2011,1,17,3,3
17,15.91,0,0,2011-01-20 17:00:00,0,49,0,1,12.3,2,7.0015,1,3,2011,1,18,7,3
18,12.88,0,0,2011-01-20 18:00:00,0,56,0,1,10.66,2,12.998,1,3,2011,1,19,7,3
19,11.365,0,0,2011-01-20 19:00:00,0,56,0,1,10.66,1,22.0028,1,3,2011,1,20,6,4
20,12.12,0,0,2011-01-20 20:00:00,0,60,0,1,10.66,2,19.0012,1,3,2011,1,21,6,4
21,11.365,0,0,2011-01-20 21:00:00,0,60,0,1,9.84,2,16.9979,1,3,2011,1,22,2,4
22,10.605,0,0,2011-01-20 22:00:00,0,65,0,1,9.84,2,19.0012,1,3,2011,1,23,2,4
23,10.605,0,0,2011-01-20 23:00:00,0,65,0,1,9.84,2,22.0028,1,3,2011,1,24,2,4
24,11.365,0,0,2011-01-21 00:00:00,0,70,0,1,9.84,2,16.9979,1,4,2011,1,1,1,1
