,atemp,casual,count,datetime,holiday,humidity,registered,season,temp,weather,windspeed,workingday,day,year,month,hour,dp_reg,dp_cas
0,14.395,3,16,2011-01-01 00:00:00,0,81,13,1,9.84,1,0.0,0,5,2011,1,1,1,1
1,13.635,8,40,2011-01-01 01:00:00,0,80,32,1,9.02,1,0.0,0,5,2011,1,2,1,1
2,13.635,5,32,2011-01-01 02:00:00,0,80,27,1,9.02,1,0.0,0,5,2011,1,3,1,1
3,14.395,3,13,2011-01-01 03:00:00,0,75,10,1,9.84,1,0.0,0,5,2011,1,4,1,1
4,14.395,0,1,2011-01-01 04:00:00,0,75,1,1,9.84,1,0.0,0,5,2011,1,5,1,1
5,12.88,0,1,2011-01-01 05:00:00,0,75,1,1,9.84,2,6.0032,0,5,2011,1,6,1,1
6,13.635,2,2,2011-01-01 06:00:00,0,80,0,1,9.02,1,0.0,0,5,2011,1,7,1,1
7,12.88,1,3,2011-01-01 07:00:00,0,86,2,1,8.2,1,0.0,0,5,2011,1,8,4,1
8,14.395,1,8,2011-01-01 08:00:00,0,75,7,1,9.84,1,0.0,0,5,2011,1,9,5,2
9,17.425,8,14,2011-01-01 09:00:00,0,76,6,1,13.12,1,0.0,0,5,2011,1,10,3,3
10,19.695,12,36,2011-01-01 10:00:00,0,76,24,1,15.58,1,16.9979,0,5,2011,1,11,3,3
11,16.665,26,56,2011-01-01 11:00:00,0,81,30,1,14.76,1,19.0012,0,5,2011,1,12,3,3
12,21.21,29,84,2011-01-01 12:00:00,0,77,55,1,17.22,1,19.0012,0,5,2011,1,13,3,3
13,22.725,47,94,2011-01-01 13:00:00,0,72,47,1,18.86,2,19.9995,0,5,2011,1,14,3,3
14,22.725,35,106,2011-01-01 14:00:00,0,72,71,1,18.86,2,19.0012,0,5,2011,1,15,3,3
15,21.97,40,110,2011-01-01 15:00:00,0,77,70,1,18.04,2,19.9995,0,5,2011,1,16,3,3
16,21.21,41,93,2011-01-01 16:00:00,0,82,52,1,17.22,2,19.9995,0,5,2011,1,17,3,3
17,21.97,15,67,2011-01-01 17:00:00,0,82,52,1,18.04,2,19.0012,0,5,2011,1,18,7,3
18,21.21,9,35,2011-01-01 18:00:00,0,88,26,1,17.22,3,16.9979,0,5,2011,1,19,7,3
19,21.21,6,37,2011-01-01 19:00:00,0,88,31,1,17.22,3,16.9979,0,5,2011,1,20,6,4
20,20.455,11,36,2011-01-01 20:00:00,0,87,25,1,16.4,2,16.9979,0,5,2011,1,21,6,4
21,20.455,3,34,2011-01-01 21:00:00,0,87,31,1,16.4,2,12.998,0,5,2011,1,22,2,4
22,20.455,11,28,2011-01-01 22:00:00,0,94,17,1,16.4,2,15.0013,0,5,2011,1,23,2,4
23,22.725,15,39,2011-01-01 23:00:00,0,88,24,1,18.86,2,19.9995,0,5,2011,1,24,2,4
24,22.725,4,17,2011-01-02 00:00:00,0,88,13,1,18.86,2,19.9995,0,6,2011,1,1,1,1
25,21.97,1,17,2011-01-02 01:00:00,0,94,16,1,18.04,2,16.9979,0,6,2011,1,2,1,1
26,21.21,1,9,2011-01-02 02:00:00,0,100,8,1,17.22,2,19.0012,0,6,2011,1,3,1,1
27,22.725,2,6,2011-01-02 03:00:00,0,94,4,1,18.86,2,12.998,0,6,2011,1,4,1,1
28,22.725,2,3,2011-01-02 04:00:00,0,94,1,1,18.86,2,12.998,0,6,2011,1,5,1,1
29,21.21,0,2,2011-01-02 06:00:00,0,77,2,1,17.22,3,19.9995,0,6,2011,1,7,1,1
30,20.455,0,1,2011-01-02 07:00:00,0,76,1,1,16.4,2,12.998,0,6,2011,1,8,4,1
31,20.455,0,8,2011-01-02 08:00:00,0,71,8,1,16.4,3,15.0013,0,6,2011,1,9,5,2
32,19.695,1,20,2011-01-02 09:00:00,0,76,19,1,15.58,2,15.0013,0,6,2011,1,10,3,3
33,17.425,7,53,2011-01-02 10:00:00,0,81,46,1,14.76,2,15.0013,0,6,2011,1,11,3,3
34,16.665,16,70,2011-01-02 11:00:00,0,71,54,1,14.76,2,16.9979,0,6,2011,1,12,3,3
35,16.665,20,93,2011-01-02 12:00:00,0,66,73,1,14.76,2,19.9995,0,6,2011,1,13,3,3
36,17.425,11,75,2011-01-02 13:00:00,0,66,64,1,14.76,2,8.9981,0,6,2011,1,14,3,3
37,17.425,4,59,2011-01-02 14:00:00,0,76,55,1,14.76,3,12.998,0,6,2011,1,15,3,3
38,16.665,19,74,2011-01-02 15:00:00,0,81,55,1,13.94,3,11.0014,0,6,2011,1,16,3,3
39,16.665,9,76,2011-01-02 16:00:00,0,71,67,1,13.94,3,11.0014,0,6,2011,1,17,3,3
40,16.665,7,65,2011-01-02 17:00:00,0,57,58,1,13.94,1,12.998,0,6,2011,1,18,7,3
41,16.665,10,53,2011-01-02 18:00:00,0,46,43,1,14.76,2,22.0028,0,6,2011,1,19,7,3
42,14.395,1,30,2011-01-02 19:00:00,0,42,29,1,13.12,1,30.0026,0,6,2011,1,20,6,4
43,13.635,5,22,2011-01-02 20:00:00,0,39,17,1,12.3,1,23.9994,0,6,2011,1,21,6,4
44,11.365,11,31,2011-01-02 21:00:00,0,44,20,1,10.66,1,22.0028,0,6,2011,1,22,2,4
45,10.605,0,9,2011-01-02 22:00:00,0,44,9,1,9.84,1,19.9995,0,6,2011,1,23,2,4
46,11.365,0,8,2011-01-02 23:00:00,0,47,8,1,9.02,1,11.0014,0,6,2011,1,24,2,4
47,9.85,0,5,2011-01-03 00:00:00,0,44,5,1,9.02,1,23.9994,1,0,2011,1,1,1,1
48,8.335,0,2,2011-01-03 01:00:00,0,44,2,1,8.2,1,27.9993,1,0,2011,1,2,1,1
49,6.82,0,1,2011-01-03 04:00:00,0,47,1,1,6.56,1,26.0027,1,0,2011,1,5,1,1
50,6.82,0,3,2011-01-03 05:00:00,0,47,3,1,6.56,1,19.0012,1,0,2011,1,6,1,1
51,5.305,0,30,2011-01-03 06:00:00,0,50,30,1,5.74,1,26.0027,1,0,2011,1,7,1,1
52,6.82,1,64,2011-01-03 07:00:00,0,50,63,1,5.74,1,12.998,1,0,2011,1,8,4,1
53,6.06,1,154,2011-01-03 08:00:00,0,50,153,1,5.74,1,19.0012,1,0,2011,1,9,5,2
54,6.82,7,88,2011-01-03 09:00:00,0,43,81,1,6.56,1,26.0027,1,0,2011,1,10,3,3
55,8.335,11,44,2011-01-03 10:00:00,0,43,33,1,7.38,1,16.9979,1,0,2011,1,11,3,3
56,9.09,10,51,2011-01-03 11:00:00,0,40,41,1,8.2,1,22.0028,1,0,2011,1,12,3,3
57,10.605,13,61,2011-01-03 12:00:00,0,35,48,1,9.02,1,19.9995,1,0,2011,1,13,3,3
58,10.605,8,61,2011-01-03 13:00:00,0,35,53,1,9.84,1,19.0012,1,0,2011,1,14,3,3
59,12.12,11,77,2011-01-03 14:00:00,0,30,66,1,10.66,1,19.0012,1,0,2011,1,15,3,3
60,12.12,14,72,2011-01-03 15:00:00,0,30,58,1,10.66,1,16.9979,1,0,2011,1,16,3,3
61,12.12,9,76,2011-01-03 16:00:00,0,30,67,1,10.66,1,16.9979,1,0,2011,1,17,3,3
62,11.365,11,157,2011-01-03 17:00:00,0,30,146,1,9.84,1,15.0013,1,0,2011,1,18,7,3
63,12.88,9,157,2011-01-03 18:00:00,0,32,148,1,9.84,1,7.0015,1,0,2011,1,19,7,3
64,12.88,8,110,2011-01-03 19:00:00,0,47,102,1,8.2,1,0.0,1,0,2011,1,20,6,4
65,11.365,3,52,2011-01-03 20:00:00,0,47,49,1,8.2,1,7.0015,1,0,2011,1,21,6,4
66,9.85,3,52,2011-01-03 21:00:00,0,64,49,1,7.38,1,8.9981,1,0,2011,1,22,2,4
67,7.575,0,20,2011-01-03 22:00:00,0,69,20,1,5.74,1,8.9981,1,0,2011,1,23,2,4
68,10.605,1,12,2011-01-03 23:00:00,0,55,11,1,7.38,1,7.0015,1,0,2011,1,24,2,4
69,9.09,0,5,2011-01-04 00:00:00,0,55,5,1,6.56,1,7.0015,1,1,2011,1,1,1,1
70,9.09,0,2,2011-01-04 01:00:00,0,59,2,1,6.56,1,7.0015,1,1,2011,1,2,1,1
71,7.575,0,1,2011-01-04 02:00:00,0,63,1,1,5.74,1,8.9981,1,1,2011,1,3,1,1
72,9.09,0,2,2011-01-04 04:00:00,0,63,2,1,5.74,1,6.0032,1,1,2011,1,5,1,1
73,7.575,0,4,2011-01-04 05:00:00,0,68,4,1,4.92,1,7.0015,1,1,2011,1,6,1,1
74,7.575,0,36,2011-01-04 06:00:00,0,74,36,1,4.92,1,7.0015,1,1,2011,1,7,1,1
75,7.575,2,94,2011-01-04 07:00:00,0,74,92,1,4.92,1,8.9981,1,1,2011,1,8,4,1
76,7.575,2,179,2011-01-04 08:00:00,0,69,177,1,5.74,1,11.0014,1,1,2011,1,9,5,2
77,7.575,2,100,2011-01-04 09:00:00,0,64,98,1,6.56,1,15.0013,1,1,2011,1,10,3,3
78,6.82,5,42,2011-01-04 10:00:00,0,69,37,1,6.56,2,22.0028,1,1,2011,1,11,3,3
79,10.605,7,57,2011-01-04 11:00:00,0,51,50,1,9.02,1,19.9995,1,1,2011,1,12,3,3
80,11.365,12,78,2011-01-04 12:00:00,0,51,66,1,9.02,1,11.0014,1,1,2011,1,13,3,3
81,11.365,18,97,2011-01-04 13:00:00,0,56,79,1,9.84,1,12.998,1,1,2011,1,14,3,3
82,12.88,9,63,2011-01-04 14:00:00,0,52,54,1,10.66,1,15.0013,1,1,2011,1,15,3,3
83,13.635,17,65,2011-01-04 15:00:00,0,52,48,1,11.48,1,16.9979,1,1,2011,1,16,3,3
84,14.395,15,83,2011-01-04 16:00:00,0,49,68,1,12.3,1,16.9979,1,1,2011,1,17,3,3
85,13.635,10,212,2011-01-04 17:00:00,0,48,202,1,11.48,1,15.0013,1,1,2011,1,18,7,3
86,12.88,3,182,2011-01-04 18:00:00,0,48,179,1,10.66,1,12.998,1,1,2011,1,19,7,3
87,12.88,2,112,2011-01-04 19:00:00,0,48,110,1,9.84,1,7.0015,1,1,2011,1,20,6,4
88,12.88,1,54,2011-01-04 20:00:00,0,48,53,1,9.84,1,7.0015,1,1,2011,1,21,6,4
89,13.635,0,48,2011-01-04 21:00:00,0,64,48,1,9.02,1,0.0,1,1,2011,1,22,2,4
90,12.88,1,35,2011-01-04 22:00:00,0,64,34,1,9.02,1,6.0032,1,1,2011,1,23,2,4
91,11.365,2,11,2011-01-04 23:00:00,0,69,9,1,8.2,1,6.0032,1,1,2011,1,24,2,4
92,12.88,0,6,2011-01-05 00:00:00,0,64,6,1,8.2,1,0.0,1,2,2011,1,1,1,1
93,9.85,0,6,2011-01-05 01:00:00,0,74,6,1,6.56,1,6.0032,1,2,2011,1,2,1,1
94,9.85,0,2,2011-01-05 02:00:00,0,74,2,1,6.56,1,6.0032,1,2,2011,1,3,1,1
95,11.365,0,2,2011-01-05 04:00:00,0,48,2,1,9.84,1,15.0013,1,2,2011,1,5,1,1
96,11.365,0,3,2011-01-05 05:00:00,0,47,3,1,9.02,1,11.0014,1,2,2011,1,6,1,1
97,9.85,0,33,2011-01-05 06:00:00,0,47,33,1,8.2,1,15.0013,1,2,2011,1,7,1,1
98,9.09,1,88,2011-01-05 07:00:00,0,43,87,1,7.38,1,12.998,1,2,2011,1,8,4,1
99,9.09,3,195,2011-01-05 08:00:00,0,40,192,1,8.2,1,19.9995,1,2,2011,1,9,5,2
100,9.85,6,115,2011-01-05 09:00:00,0,37,109,1,9.02,1,22.0028,1,2,2011,1,10,3,3
101,9.85,4,57,2011-01-05 10:00:00,0,37,53,1,9.02,1,22.0028,1,2,2011,1,11,3,3
102,11.365,12,46,2011-01-05 11:00:00,0,33,34,1,10.66,1,22.0028,1,2,2011,1,12,3,3
103,11.365,5,79,2011-01-05 12:00:00,0,33,74,1,10.66,1,22.0028,1,2,2011,1,13,3,3
104,12.88,6,71,2011-01-05 13:00:00,0,30,65,1,11.48,1,19.9995,1,2,2011,1,14,3,3
105,14.395,10,62,2011-01-05 14:00:00,0,28,52,1,12.3,1,12.998,1,2,2011,1,15,3,3
